S.No	Index Name	Code	System Value	S.No	SS Notes
131	NIFTY Microcap 250	NMICRO250	NIFTY Microcap 250	131	Active
132	NIFTY Midcap Liquid 15	NML15	NIFTY Midcap Liquid 15	132	Active
133	NIFTY MNC	NMNC	NIFTY MNC	133	Active
134	NIFTY Mobility	NMOB	NIFTY Mobility	134	Active
135	NIFTY MidSmallcap 400	NMS400	NIFTY MidSmallcap 400	135	Active
136	NIFTY MidSmallcap400 Momentum Quality 100	NMS400MQ100	NIFTY MidSmallcap400 Momentum Quality 100	136	Active
137	NIFTY MidSmall Healthcare	NMSHC	NIFTY MidSmall Healthcare	137	Active
138	NIFTY MidSmall India Consumption	NMSIC	NIFTY MidSmall India Consumption	138	Active
139	NIFTY MidSmall IT & Telecom	NMSIT	NIFTY MidSmall IT & Telecom	139	Active
140	NIFTY MidSmall Financial Services	NMSSF	NIFTY MidSmall Financial Services	140	Active
141	NIFTY Multi Asset - Equity : Debt : Arbitrage : Reits/Invits (50:20:20:10)	NMULTI50202010	NIFTY Multi Asset - Equity : Debt : Arbitrage : Reits/Invits (50:20:20:10)	141	Active
142	NIFTY Multi Asset - Equity : Arbitrage : Reits/Invits (50:40:10)	NMULTI504010	NIFTY Multi Asset - Equity : Arbitrage : Reits/Invits (50:40:10)	142	Active
143	NIFTY Next 50	NN50	NIFTY Next 50	143	Active
144	NIFTY NonCyclical Consumer	NNCC	NIFTY Non-Cyclical Consumer	144	Active
144	NIFTY Non-Cyclical Consumer	NNCC	NIFTY Non-Cyclical Consumer	144	Active
145	NIFTY Oil & Gas	NOG	NIFTY Oil & Gas	145	Active
146	NIFTY Private Bank	NPBANK	NIFTY Private Bank	146	Active
147	NIFTY Pharma	NPHARMA	NIFTY Pharma	147	Active
148	NIFTY PSE	NPSE	NIFTY PSE	148	Active
149	NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index	NPSUAPR265050	NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index	149	Active
150	NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index	NPSUAPR275050	NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index	150	Active
